id,title,overview,soup,genres,cast,director,vote_average,vote_count,release_date,year,poster_url,category
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",Adventure Animation Family Fantasy Michael B. Jordan Juno Temple Tracy Morgan Nathan Greno wolf buddy forest fire woodlands forest lore bird 3d animation familiar vibrant body swap animal adventure,Adventure Animation Family Fantasy,Michael B. Jordan Juno Temple Tracy Morgan,Nathan Greno,8.974,1618,2026-05-01,2026,https://image.tmdb.org/t/p/w500/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,top_rated
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Drama Crime Tim Robbins Morgan Freeman Bob Gunton Frank Darabont prison friendship police brutality corruption based on novel or book freedom hope prison cell delinquent redemption parole board prison escape wrongful imprisonment interracial friendship framed for murder 1940s voiceover,Drama Crime,Tim Robbins Morgan Freeman Bob Gunton,Frank Darabont,8.722,30513,1994-09-23,1994,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,top_rated
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Drama Crime Marlon Brando Al Pacino James Caan Francis Ford Coppola based on novel or book loss of loved one love at first sight italy gangster symbolism patriarch europe organized crime mafia religion revenge motive crime family sicilian mafia religious hypocrisy gun violence rise to power gang violence 1940s 1950s mafia war best picture winner oscar winner,Drama Crime,Marlon Brando Al Pacino James Caan,Francis Ford Coppola,8.687,23004,1972-03-14,1972,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,top_rated
687163,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",Science Fiction Adventure Ryan Gosling Sandra Hüller James Ortiz Phil Lord friendship coma based on novel or book bravery sun language barrier space travel space mission alien space memory loss suicide mission astronaut scientist science teacher save the planet wonder spaceship lighthearted interspecies friendship,Science Fiction Adventure,Ryan Gosling Sandra Hüller James Ortiz,Phil Lord,8.666,4775,2026-03-15,2026,https://image.tmdb.org/t/p/w500/yihdXomYb5kTeSivtFndMy5iDmf.jpg,top_rated
240,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",Drama Crime Al Pacino Robert Duvall Diane Keaton Francis Ford Coppola new year's eve new york city based on novel or book italian american cuba italy gangster praise blackmail symbolism senator revenge murder betrayal organized crime extortion mafia lawyer suburb sicilian mafia corrupt politician macabre 1950s new year violence,Drama Crime,Al Pacino Robert Duvall Diane Keaton,Francis Ford Coppola,8.572,13948,1974-12-20,1974,https://image.tmdb.org/t/p/w500/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,top_rated
424,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Drama History War Liam Neeson Ben Kingsley Ralph Fiennes Steven Spielberg factory hero nazi concentration camp ss (nazi schutzstaffel) holocaust (shoah) world war ii ghetto jew persecution kraków, poland defense industry auschwitz-birkenau concentration camp biography based on true story industrialist historical fiction black and white train period drama poland evil historical drama disheartening",Drama History War,Liam Neeson Ben Kingsley Ralph Fiennes,Steven Spielberg,8.569,17495,1993-12-15,1993,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,top_rated
389,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Drama Martin Balsam John Fiedler Lee J. Cobb Sidney Lumet death penalty anonymity court case judge jurors innocence witness knife matter of life and death based on play or musical trial murder debate capital punishment black and white courtroom angry courtroom drama huis clos baffled derisive foreboding,Drama,Martin Balsam John Fiedler Lee J. Cobb,Sidney Lumet,8.562,10017,1957-04-10,1957,https://image.tmdb.org/t/p/w500/zhG3vKWyDRaZYoaww1UVAi29T9h.jpg,top_rated
1330021,Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.",Drama Mystery Sally Field Lewis Pullman Colm Meaney Olivia Newman aquarium octopus british columbia washington loss of child based on young adult novel fictional town,Drama Mystery,Sally Field Lewis Pullman Colm Meaney,Olivia Newman,8.563,576,2026-05-07,2026,https://image.tmdb.org/t/p/w500/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,top_rated
129,Spirited Away,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",Animation Family Fantasy Rumi Hiiragi Miyu Irino Mari Natsuki Hayao Miyazaki witch parent child relationship darkness bath house magic spirit parallel world amusement park youkai japanese mythology anime,Animation Family Fantasy,Rumi Hiiragi Miyu Irino Mari Natsuki,Hayao Miyazaki,8.535,18376,2001-07-20,2001,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,top_rated
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Action Crime Thriller Christian Bale Heath Ledger Aaron Eckhart Christopher Nolan sadism chaos secret identity crime fighter superhero anti hero scarecrow based on comic vigilante organized crime tragic hero anti villain criminal mastermind district attorney super power super villain neo-noir bold,Action Crime Thriller,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan,8.531,35858,2008-07-16,2008,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,top_rated
19404,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",Comedy Drama Romance Kajol Shah Rukh Khan Amrish Puri Aditya Chopra family's daily life family history love-hate relationship family drama love affair,Comedy Drama Romance,Kajol Shah Rukh Khan Amrish Puri,Aditya Chopra,8.5,4591,1995-10-20,1995,https://image.tmdb.org/t/p/w500/tFbfCkS7q6g96wVoAu8kyr93iPm.jpg,top_rated
